Location,Cardiovascular diseases,Chronic respiratory diseases,Diabetes and kidney diseases,Digestive diseases,Enteric infections,HIV/AIDS and sexually transmitted infections,Maternal and neonatal disorders,Mental disorders,Musculoskeletal disorders,Neglected tropical diseases and malaria,Neoplasms,Neurological disorders,Nutritional deficiencies,Other infectious diseases,Other non-communicable diseases,Respiratory infections and tuberculosis,Self-harm and interpersonal violence,Skin and subcutaneous diseases,Substance use disorders,Transport injuries,Unintentional injuries,HAQ,SDI,<15 years of age (%),65/+ years of age (%)
Hidalgo,0.00655029265,0.00893088877,0.00824643028,0.0651618215,0.495448114,0.117416055,0.00925084349,0.0365593912,0.0293931367,0.00539149111,0.0027693721,0.1282603,0.202921943,0.0499164228,0.5288785,2.51721991,0.00211971586,0.444552205,0.0095998423,0.00490980443,0.0433886752,64.3,0.587458446,0.28046729,0.07691073
Honduras,0.00438744046,0.0127132781,0.00495323043,0.0553164816,1.6601695,0.104570139,0.0103287115,0.0360309477,0.0282599668,0.0429185488,0.00126805293,0.120970713,0.101612091,0.0596978637,0.543353535,2.58805518,0.00330350771,0.423151732,0.00908984206,0.00264475983,0.0276741651,46.5,0.512339813,0.34930419,0.05000232
Jalisco,0.0062327173,0.00842471872,0.00886968595,0.0693773141,0.546309597,0.120564332,0.00885551035,0.0397228862,0.029207824,0.0141490309,0.00307463743,0.128693517,0.200047571,0.0488009201,0.529274054,2.52919,0.00257950807,0.446272357,0.00985569843,0.00451816004,0.0343092642,67.1,0.648991934,0.27663457,0.07254791
Jamaica,0.00770053749,0.0135139625,0.00797986136,0.0727935215,0.588587064,0.128563105,0.00910168054,0.0391526886,0.0356716158,0.0355253026,0.00237476181,0.128352369,0.0714190557,0.0375435755,0.577657414,2.34525779,0.00309290592,0.570562145,0.0089727506,0.00299631119,0.0436468019,62,0.678532504,0.22701385,0.08733612
Maranhão,0.005432205618,0.01082115011,0.00464308315,0.06767722891,0.7033563297,0.1167140803,0.006476475087,0.0454407403,0.05056241254,0.02938796596,0.002569821238,0.1349649034,0.2665345776,0.05321323662,0.6939354019,2.432010623,0.001932643596,0.5947787596,0.01298308679,0.005842410706,0.02956283293,55,0.507040138,0.31246331,0.06554475
Mato Grosso,0.0061119705,0.0110487205,0.00474702019,0.0753094703,0.614944514,0.127188464,0.00581213792,0.0478588702,0.0573920894,0.0548699595,0.00289612465,0.139817457,0.208709079,0.0415806819,0.68281913,2.33828467,0.00258560512,0.600927993,0.0150368643,0.0069704165,0.047071995,62.5,0.662454796,0.23083579,0.06556793
Mato Grosso do Sul,0.00701742803,0.0105939805,0.00504911494,0.0771890823,0.615619192,0.123872005,0.00689674821,0.0510719298,0.0588236688,0.0264387635,0.00310058948,0.139561943,0.214158279,0.0413630466,0.672184948,2.32842805,0.00404720556,0.619584085,0.0149638628,0.00878449731,0.0680882722,62.4,0.650210546,0.22491407,0.08026321
México,0.00584103562,0.00796741622,0.00919583817,0.0676417724,0.590548907,0.121514947,0.0102307071,0.0363478728,0.0260099401,0.00478867858,0.00279971506,0.128396242,0.202278425,0.0497057729,0.533178015,2.53697698,0.00271652621,0.434618392,0.00961263307,0.00363181904,0.0341934649,68.2,0.635428465,0.27693905,0.06153666
Mexico City,0.00888859555,0.0078692518,0.0108655392,0.0784423398,0.545394338,0.124611224,0.00783314989,0.0404145287,0.033317118,0.000161420746,0.00404171748,0.130433735,0.156619876,0.0434190088,0.484945924,2.43876686,0.00394376667,0.481228506,0.0092921245,0.00550869054,0.0518379548,72.4,0.715772109,0.21424539,0.09747387
Michoacán de Ocampo,0.00675643974,0.00925121918,0.00820299684,0.0640910664,0.500746456,0.115886819,0.00661509425,0.0376879105,0.0290161092,0.00693629309,0.00292361529,0.127384401,0.21858732,0.0494455653,0.528084402,2.52413534,0.00265730537,0.450306205,0.0096203636,0.00400346225,0.0344661248,64.9,0.58646838,0.28913397,0.08245176
Minas Gerais,0.0080496008,0.0104630272,0.00531399524,0.0722712873,0.673777214,0.115562376,0.00476825968,0.0513424095,0.0612534387,0.0257113401,0.00334638406,0.139988138,0.207380814,0.0383594875,0.60023916,2.29204304,0.00284725353,0.635150829,0.0161453671,0.00494838355,0.0430710379,64.5,0.660795264,0.2005338,0.10012777
Morelos,0.00670079745,0.00853789435,0.00961735003,0.066571356,0.498768476,0.120895321,0.00777125091,0.0376171649,0.0288540163,0.0226173195,0.00324171137,0.128576288,0.195160558,0.0490357311,0.520933655,2.50125575,0.00288033409,0.448989019,0.00943809308,0.00379997663,0.03420882,67,0.635471941,0.26891256,0.08107155
Nayarit,0.00643932164,0.00903579452,0.00811873197,0.0683513558,0.689179534,0.118032777,0.00967999493,0.0368660141,0.0293780545,0.0175633163,0.00315156072,0.128004895,0.204437837,0.0494831346,0.531387879,2.51862166,0.00319287868,0.456999516,0.00950415233,0.00626385064,0.0463940038,66.2,0.620025881,0.27842877,0.08076473
Nicaragua,0.00482056531,0.00992145885,0.0058158443,0.0581145838,1.53389278,0.101826237,0.00725980156,0.0387652256,0.0302837787,0.0425350531,0.00132273381,0.12274524,0.055038736,0.0497604567,0.534257201,2.16258407,0.00219549938,0.417448043,0.0103208753,0.0021442584,0.0277745093,61.2,0.529616174,0.31463008,0.05505305
Nuevo León,0.00647013486,0.00789340927,0.00844836824,0.0687596281,0.589842558,0.122602781,0.00844741005,0.0384014069,0.0300335513,0.017910858,0.00320232819,0.128789806,0.184435897,0.0462078516,0.51833237,2.51859016,0.00256494246,0.446844031,0.00852878353,0.00395123976,0.0279813383,72.8,0.677420872,0.26035558,0.06981202
Oaxaca,0.00680285973,0.00895551323,0.00832102645,0.0627342795,0.711840937,0.114292563,0.0102454892,0.0362973665,0.0289247677,0.0152057204,0.00282772458,0.127531386,0.222498223,0.0521640691,0.533825287,2.51552253,0.00261174499,0.457662627,0.010432314,0.00390580458,0.0338588042,59.5,0.560543467,0.29271889,0.08720789
Panama,0.00642908807,0.0113442774,0.00628494978,0.066036466,1.72468545,0.104502328,0.00763487875,0.0381247886,0.03320834,0.0361302511,0.00192532369,0.123084655,0.0688936725,0.0465961157,0.50631055,2.38690043,0.00350641695,0.45418073,0.00805161061,0.00330043135,0.0311452856,68.3,0.677043867,0.27401836,0.08532766
Pará,0.00508571249,0.0111050674,0.00420888865,0.0702848126,0.925256385,0.121132883,0.00803394091,0.0413453281,0.051604714,0.0304321053,0.00150024997,0.138537354,0.237758708,0.049795204,0.698336824,2.41001993,0.00356918016,0.597740527,0.012524139,0.00431676251,0.0385257124,57.8,0.578664243,0.28724806,0.05592191
Paraguay,0.00554129093,0.0146754359,0.00579623193,0.0628237646,1.22805559,0.114798773,0.0103385243,0.0423963297,0.0431847092,0.0158407882,0.00123560798,0.129908796,0.2281183,0.0490371612,0.672920857,2.32122406,0.00218183133,0.573586679,0.0115824645,0.00426097426,0.0386824845,56.7,0.618769591,0.30468326,0.05989066
Paraíba,0.00699092293,0.0105017987,0.00566550151,0.071320157,0.868530851,0.11738116,0.00675332975,0.0479471251,0.056421674,0.0299608929,0.00192158641,0.13642633,0.24193417,0.0480845154,0.648772683,2.3536458,0.00212602028,0.618199112,0.0140340397,0.00544871622,0.0314117808,60.4,0.574462555,0.25525998,0.0926091
Paraná,0.00785532356,0.0111772746,0.00549918935,0.0801899444,0.609747811,0.123358422,0.00400993756,0.0511696319,0.0613685637,0.013219611,0.00299493299,0.14020148,0.193620086,0.0395053189,0.645185504,2.28975862,0.00315923604,0.626948937,0.015238709,0.00482412623,0.0512715098,65.3,0.682436727,0.1989489,0.09417136
Pernambuco,0.00670217367,0.0115330278,0.00559285977,0.0705786711,0.639374888,0.119792651,0.00620354921,0.0521261329,0.0559073255,0.0256209316,0.00207721497,0.134491708,0.234792653,0.0484724202,0.638314102,2.35126014,0.00249045393,0.61850107,0.0148158465,0.00362046564,0.0383031499,58.2,0.593552542,0.25231085,0.08214897
Peru,0.00557715203,0.0129343474,0.00450726595,0.0665295841,1.17108303,0.0805127944,0.014201201,0.0324931273,0.0410905819,0.0135439514,0.00170679211,0.122399229,0.139806643,0.0576805034,0.573812277,2.87753422,0.00130165252,0.620955202,0.00789579369,0.00311283091,0.0384095066,64.3,0.635787809,0.29381747,0.07698711
Piaui,0.00657760734,0.0106176318,0.00490873901,0.0729437488,0.755055532,0.117468965,0.00730713423,0.0463701245,0.0554356805,0.019472433,0.00237964647,0.136182256,0.254491829,0.0478396289,0.666965812,2.37324308,0.00194784807,0.610226994,0.0142224966,0.00598208826,0.0465100432,57.8,0.551619925,0.26695725,0.08519018
Puebla,0.00608343855,0.00925316028,0.00902316682,0.0636539555,0.614158983,0.117586525,0.0100651757,0.0362450959,0.0280123559,0.00591846766,0.00265997468,0.127113572,0.209503191,0.0552483101,0.537512778,2.55388561,0.00231273554,0.439590195,0.00971647456,0.00468791189,0.0386032554,62.7,0.584252823,0.29715846,0.06928011
Puerto Rico,0.0122557254,0.0144785245,0.0103272142,0.0881366026,0.986862317,0.110671877,0.00545592499,0.0429093611,0.0432160818,0.049407633,0.00387038559,0.129186797,0.0482345116,0.0328857526,0.517903421,2.20464743,0.00299189091,0.678832818,0.00913421424,0.00402703668,0.0840679555,82.7,0.812984477,0.16221519,0.18576514
Querétaro,0.00557088274,0.00890132073,0.00825014376,0.0636426703,0.474947997,0.122389676,0.00865954602,0.0380051679,0.0283564524,0.00415519346,0.00255568112,0.128278912,0.189734863,0.0509404751,0.536570032,2.54479812,0.00180131343,0.429181138,0.0103072652,0.0049878663,0.0345951698,67,0.639127345,0.28330245,0.05914534
Quintana Roo,0.00450858356,0.00816434232,0.00849804529,0.065280992,0.724758971,0.133692202,0.0119238061,0.0424308548,0.0271037613,0.0254405539,0.00217233113,0.12907402,0.195126013,0.0509649163,0.556920057,2.56007851,0.00358861519,0.417698946,0.010501801,0.00600774279,0.03371215,67.1,0.626303085,0.27412194,0.03783287
Rio de Janeiro,0.00866518453,0.0100852427,0.00593325932,0.0762750811,0.380535552,0.122446322,0.00437867591,0.0484747834,0.0596532248,0.043682605,0.00472412691,0.139937874,0.188103268,0.0386863879,0.618609522,2.26363793,0.00472955634,0.643441349,0.012566634,0.00511346069,0.0345046975,65.1,0.708855843,0.19182858,0.10611676
Rio Grande do Norte,0.0066321697,0.0105474001,0.00528255914,0.0715381533,0.825949463,0.121766706,0.0067007451,0.0503243174,0.0564094967,0.0315960194,0.00364887024,0.137418255,0.231311899,0.0449967307,0.647821683,2.34293166,0.0033863774,0.612473001,0.0145912992,0.00444095298,0.0362793528,62.7,0.605294307,0.242818524,0.08533532
Rio Grande do Sul,0.00909296913,0.0113427407,0.0059146747,0.0883097909,0.508182553,0.12092488,0.00346665052,0.05696187,0.0646541718,0.0123384054,0.00488940412,0.149898096,0.18967235,0.0378452754,0.634482695,2.2483046,0.00247020038,0.651051793,0.0140258529,0.00395710155,0.0465080137,68.1,0.6927427,0.18055968,0.11675146
Rondônia,0.00577762502,0.0101608207,0.00481094827,0.075333437,0.512167304,0.128687242,0.00629428769,0.0490979037,0.0566416075,0.0394142267,0.00297416267,0.140799176,0.229359138,0.0437081453,0.663577749,2.34924934,0.00320323599,0.607231914,0.0141441888,0.0071226332,0.0393201692,62.2,0.621702361,0.2327319,0.06156564
Roraima,0.00449141284,0.011487684,0.00442149559,0.0632666488,0.51425932,0.124332139,0.00974871398,0.0527314261,0.0506912126,0.0516223984,0.00164427189,0.137527055,0.223589816,0.0521712711,0.707780484,2.433426,0.00245957386,0.587556101,0.0137745934,0.00857724721,0.0402106389,60.6,0.646354751,0.30023319,0.04221036
Saint Lucia,0.00850286766,0.0128500025,0.0083216506,0.0778730231,1.01604744,0.123453721,0.00826611001,0.043209947,0.0384588024,0.0533227167,0.00266960055,0.127910557,0.0945863044,0.0382758909,0.55487498,2.2957489,0.0026084237,0.584394386,0.0107028126,0.00321776817,0.0383807085,63.3,0.652614198,0.20458284,0.09754718
Saint Vincent and the Grenadines,0.00876279734,0.0132527657,0.00904696802,0.0775696005,0.859054622,0.117217839,0.0122223198,0.0432600246,0.0376208894,0.0354576781,0.00283442417,0.126509445,0.0941606764,0.039585547,0.55966513,2.32488425,0.00287168002,0.594204391,0.0110064706,0.00256046717,0.0422702435,57.4,0.608304473,0.23201541,0.09985192
San Luis Potosí,0.00658704255,0.00926474786,0.00821076226,0.0657932863,0.532015775,0.116983372,0.00965426874,0.0385145439,0.0291861683,0.00720626432,0.0029637123,0.128387467,0.202570985,0.0486794102,0.527340595,2.52304217,0.00266570751,0.453375178,0.00948088307,0.00568444295,0.0363758648,66,0.620944629,0.28324434,0.08074029
Santa Catarina,0.00757503675,0.0112750894,0.00484938187,0.0795652873,0.535366388,0.126778106,0.00441607528,0.0581950573,0.0610762653,0.00867414577,0.00526065651,0.142092993,0.185508063,0.037987603,0.629223005,2.27960478,0.00217728271,0.621313642,0.0143952637,0.00523409277,0.0525903387,68.6,0.702495682,0.1897848,0.08875944
São Paulo,0.00814672727,0.0108169909,0.00535697956,0.0756507647,0.409862023,0.124746435,0.00474903821,0.0520613095,0.0610582711,0.0227680111,0.00373863237,0.14153589,0.180972812,0.0389090826,0.654939956,2.27692429,0.00243279194,0.632194249,0.0142061972,0.00564962726,0.0456731244,69.1,0.7200519,0.19290402,0.09662601
Sergipe,0.00613296932,0.0107885354,0.0051618209,0.0725399072,0.537342085,0.123748221,0.00747778597,0.0486534259,0.0550994275,0.0324687364,0.00335757337,0.138482947,0.22879449,0.0464514865,0.656833412,2.35756702,0.00285875338,0.59989418,0.0161109755,0.00443466313,0.0388618769,59.5,0.615627706,0.24982891,0.07164678
Sinaloa,0.00681593392,0.00869123276,0.00813596395,0.0677711795,0.673875907,0.119387451,0.00789621433,0.036854074,0.0299744553,0.0171315317,0.00324750708,0.12880871,0.18930677,0.0458101462,0.522044234,2.49945368,0.00342218002,0.45396892,0.00899159945,0.00636546423,0.0360662036,71.6,0.648534168,0.26276958,0.08200547
Sonora,0.00649902333,0.00909961232,0.00867247356,0.0670947553,0.619483167,0.121178295,0.00965066352,0.0394675325,0.0295367374,0.00939349807,0.00331948342,0.128998582,0.182789877,0.047062558,0.529332583,2.52175567,0.00321805745,0.441962043,0.00917519885,0.00504934619,0.0350109725,68.8,0.650495685,0.2664778,0.0700245
Suriname,0.00757700068,0.0150734045,0.00781559071,0.074104597,0.888903851,0.116832017,0.0100412506,0.0579009728,0.0345176196,0.0392676142,0.00182464869,0.125726458,0.0947164695,0.0455117496,0.55099251,2.37705298,0.00211363563,0.577523568,0.00946034115,0.00357021958,0.0396781592,54.5,0.64099299,0.25897726,0.07867974
Tabasco,0.00568756346,0.00818870563,0.00928364855,0.0642676578,0.715371821,0.121923133,0.00926988859,0.0422419685,0.0285655855,0.0271254565,0.00270587149,0.128462892,0.20755481,0.0497254016,0.542608692,2.52122487,0.00356408691,0.432787784,0.00926482274,0.00689306566,0.0375128244,66.1,0.611463527,0.28298802,0.06175012
Tamaulipas,0.00633372255,0.00850072977,0.00903894335,0.0683253865,0.707778646,0.121561251,0.00913438001,0.0383927463,0.0297398649,0.0155972744,0.0031624194,0.128992431,0.188098917,0.0478351272,0.532567901,2.50871838,0.00401841352,0.445277719,0.00885903193,0.00523754368,0.0354963473,72.3,0.647006129,0.26576631,0.07141133
The Bahamas,0.00708372568,0.0129775807,0.00718673491,0.07545428,0.828007214,0.125019509,0.00989052966,0.0397034271,0.035824038,0.0303555944,0.00281519281,0.128432304,0.0806295937,0.0385480511,0.582273647,2.33436957,0.00370820444,0.566766028,0.0112360797,0.0035231498,0.0365024718,66.4,0.75556215,0.22754495,0.07368942
Tlaxcala,0.00568370513,0.00900733372,0.00885324016,0.0642332815,0.605855407,0.120190147,0.00910866321,0.0361159292,0.0285048696,0.00410160613,0.00262297441,0.128217706,0.205818531,0.0510448287,0.537599908,2.54041975,0.00198796352,0.433250233,0.0096663989,0.00554947543,0.0360082622,66.3,0.604441163,0.28648786,0.06559026
Tocantins,0.00597457047,0.0107892837,0.00462290002,0.0716032324,0.61452142,0.123272762,0.00866556869,0.0499127328,0.0546919073,0.0227864494,0.00177071687,0.138320629,0.230268066,0.0444940078,0.693464725,2.37750455,0.00260524779,0.60493589,0.01500468,0.00439523559,0.0496274182,61.2,0.610879077,0.26365066,0.06890276
Trinidad and Tobago,0.00956303446,0.0133533625,0.0104153165,0.0839541017,0.607887272,0.116616995,0.00913707942,0.0497057355,0.0392503485,0.0425155761,0.00235726679,0.127030576,0.0727757945,0.0383186356,0.540852811,2.3008591,0.00454250028,0.604699176,0.00960134968,0.00358048243,0.0385916234,64.3,0.698405348,0.20492341,0.11020808
Uruguay,0.0160838929,0.00780411819,0.00811219352,0.0805777752,0.509120617,0.0837493956,0.010388187,0.0458794474,0.0636033256,0.0000048132355,0.00451714347,0.123758097,0.0802072105,0.0318345638,0.488901192,2.24291099,0.00647788991,0.49671196,0.00625871335,0.00858822703,0.0928787338,71,0.706753401,0.20890331,0.14653399
Venezuela,0.00616124673,0.0100701956,0.00653365314,0.0654135295,1.931363,0.110381866,0.00708373582,0.040491268,0.0308010671,0.0492487601,0.00250771195,0.123581438,0.129261565,0.0474202826,0.50365166,2.39736435,0.00675008352,0.434116356,0.00827904117,0.00433537935,0.0347200113,67.8,0.655413104,0.26172329,0.0714603
Veracruz de Ignacio de la Llave,0.00718866793,0.00880804053,0.00976501902,0.0688059496,0.657709225,0.118295905,0.00903397436,0.0393907318,0.0301519856,0.0226665046,0.00321988378,0.128846103,0.216907385,0.0498784854,0.502888233,2.47937351,0.00262169185,0.456539559,0.00985550676,0.00449524059,0.0394892569,63.8,0.591994,0.26163223,0.08604562
"Virgin Islands, U.S.",0.0116739663,0.013316902,0.00975213275,0.0882458066,1.10029609,0.100931333,0.0116417453,0.0449680758,0.0429109037,0.0652872577,0.00592239156,0.126511399,0.0498760046,0.0369641264,0.520447037,2.22343615,0.00406401826,0.667435587,0.0102243797,0.00388990655,0.0492398682,74,0.806568682,0.19400806,0.17378504
Yucatán,0.0066138523,0.00820416919,0.00875742704,0.0667233471,0.6164168,0.123132349,0.00705603953,0.0425798204,0.0225688355,0.0298183921,0.00307209274,0.129645496,0.19711599,0.0492231249,0.525192625,2.49469318,0.00146539828,0.455670746,0.00949716207,0.00426727693,0.0269430687,65.6,0.63033024,0.25669847,0.07866672
Zacatecas,0.0064970867,0.00955135667,0.00823025054,0.0645585594,0.567307679,0.115705362,0.00787520742,0.0366799348,0.0291498259,0.0036593317,0.00295175529,0.127637401,0.205217162,0.0495861967,0.528154748,2.53234508,0.00250099996,0.452523554,0.00993490651,0.00523478717,0.0356929409,64.2,0.607654208,0.2913485,0.08060908
